iterate,power,delta,band
425,0.5,0.5,0.24000000000000002
426,0.5,0.5,0.25
427,0.5,0.5,0.26
428,0.5,0.5,0.27
429,0.5,0.5,0.28
430,0.5,0.5,0.29000000000000004
431,0.5,0.5,0.30000000000000004
432,0.5,0.5,0.31
433,0.5,0.5,0.32
434,0.5,0.5,0.33
435,0.5,0.5,0.33999999999999997
436,0.5,0.5,0.35
437,0.5,0.5,0.36
438,0.5,0.5,0.37
439,0.5,0.5,0.38
440,0.5,0.5,0.39
441,0.5,0.5,0.4
442,0.5,0.5,0.41000000000000003
443,0.5,0.5,0.42000000000000004
444,0.5,0.5,0.43000000000000005
445,0.5,0.5,0.44000000000000006
446,0.5,0.5,0.45000000000000007
447,0.5,0.5,0.45999999999999996
448,0.5,0.5,0.47
449,0.5,0.5,0.48
450,0.5,0.5,0.49
451,0.5,0.5,0.5
452,0.5,0.55,0.1
453,0.5,0.55,0.11
454,0.5,0.55,0.12000000000000001
455,0.5,0.55,0.13
456,0.5,0.55,0.14
457,0.5,0.55,0.15000000000000002
458,0.5,0.55,0.16
459,0.5,0.55,0.17
460,0.5,0.55,0.18
461,0.5,0.55,0.19
462,0.5,0.55,0.2
463,0.5,0.55,0.21000000000000002
464,0.5,0.55,0.22
465,0.5,0.55,0.23
466,0.5,0.55,0.24000000000000002
467,0.5,0.55,0.25
468,0.5,0.55,0.26
469,0.5,0.55,0.27
470,0.5,0.55,0.28
471,0.5,0.55,0.29000000000000004
472,0.5,0.55,0.30000000000000004
473,0.5,0.55,0.31
474,0.5,0.55,0.32
475,0.5,0.55,0.33
476,0.5,0.55,0.33999999999999997
477,0.5,0.55,0.35
478,0.5,0.55,0.36
479,0.5,0.55,0.37
480,0.5,0.55,0.38
481,0.5,0.55,0.39
482,0.5,0.55,0.4
483,0.5,0.55,0.41000000000000003
484,0.5,0.55,0.42000000000000004
485,0.5,0.55,0.43000000000000005
486,0.5,0.55,0.44000000000000006
487,0.5,0.55,0.45000000000000007
488,0.5,0.55,0.45999999999999996
489,0.5,0.55,0.47
490,0.5,0.55,0.48
491,0.5,0.55,0.49
492,0.5,0.55,0.5
493,0.5,0.6000000000000001,0.1
494,0.5,0.6000000000000001,0.11
495,0.5,0.6000000000000001,0.12000000000000001
496,0.5,0.6000000000000001,0.13
497,0.5,0.6000000000000001,0.14
498,0.5,0.6000000000000001,0.15000000000000002
499,0.5,0.6000000000000001,0.16
500,0.5,0.6000000000000001,0.17
501,0.5,0.6000000000000001,0.18
502,0.5,0.6000000000000001,0.19
503,0.5,0.6000000000000001,0.2
504,0.5,0.6000000000000001,0.21000000000000002
505,0.5,0.6000000000000001,0.22
506,0.5,0.6000000000000001,0.23
507,0.5,0.6000000000000001,0.24000000000000002
508,0.5,0.6000000000000001,0.25
509,0.5,0.6000000000000001,0.26
510,0.5,0.6000000000000001,0.27
511,0.5,0.6000000000000001,0.28
512,0.5,0.6000000000000001,0.29000000000000004
513,0.5,0.6000000000000001,0.30000000000000004
514,0.5,0.6000000000000001,0.31
515,0.5,0.6000000000000001,0.32
516,0.5,0.6000000000000001,0.33
517,0.5,0.6000000000000001,0.33999999999999997
518,0.5,0.6000000000000001,0.35
519,0.5,0.6000000000000001,0.36
520,0.5,0.6000000000000001,0.37
521,0.5,0.6000000000000001,0.38
522,0.5,0.6000000000000001,0.39
523,0.5,0.6000000000000001,0.4
524,0.5,0.6000000000000001,0.41000000000000003
525,0.5,0.6000000000000001,0.42000000000000004
526,0.5,0.6000000000000001,0.43000000000000005
527,0.5,0.6000000000000001,0.44000000000000006
528,0.5,0.6000000000000001,0.45000000000000007
529,0.5,0.6000000000000001,0.45999999999999996
530,0.5,0.6000000000000001,0.47
531,0.5,0.6000000000000001,0.48
532,0.5,0.6000000000000001,0.49
533,0.5,0.6000000000000001,0.5
534,0.5,0.65,0.1
535,0.5,0.65,0.11
536,0.5,0.65,0.12000000000000001
537,0.5,0.65,0.13
538,0.5,0.65,0.14
539,0.5,0.65,0.15000000000000002
540,0.5,0.65,0.16
541,0.5,0.65,0.17
542,0.5,0.65,0.18
543,0.5,0.65,0.19
544,0.5,0.65,0.2
545,0.5,0.65,0.21000000000000002
546,0.5,0.65,0.22
547,0.5,0.65,0.23
548,0.5,0.65,0.24000000000000002
549,0.5,0.65,0.25
550,0.5,0.65,0.26
551,0.5,0.65,0.27
552,0.5,0.65,0.28
553,0.5,0.65,0.29000000000000004
554,0.5,0.65,0.30000000000000004
555,0.5,0.65,0.31
556,0.5,0.65,0.32
557,0.5,0.65,0.33
558,0.5,0.65,0.33999999999999997
559,0.5,0.65,0.35
560,0.5,0.65,0.36
561,0.5,0.65,0.37
562,0.5,0.65,0.38
563,0.5,0.65,0.39
564,0.5,0.65,0.4
565,0.5,0.65,0.41000000000000003
566,0.5,0.65,0.42000000000000004
567,0.5,0.65,0.43000000000000005
568,0.5,0.65,0.44000000000000006
569,0.5,0.65,0.45000000000000007
570,0.5,0.65,0.45999999999999996
571,0.5,0.65,0.47
572,0.5,0.65,0.48
573,0.5,0.65,0.49
574,0.5,0.65,0.5
575,0.5,0.7000000000000001,0.1
576,0.5,0.7000000000000001,0.11
577,0.5,0.7000000000000001,0.12000000000000001
578,0.5,0.7000000000000001,0.13
579,0.5,0.7000000000000001,0.14
580,0.5,0.7000000000000001,0.15000000000000002
581,0.5,0.7000000000000001,0.16
582,0.5,0.7000000000000001,0.17
583,0.5,0.7000000000000001,0.18
584,0.5,0.7000000000000001,0.19
585,0.5,0.7000000000000001,0.2
586,0.5,0.7000000000000001,0.21000000000000002
587,0.5,0.7000000000000001,0.22
588,0.5,0.7000000000000001,0.23
589,0.5,0.7000000000000001,0.24000000000000002
590,0.5,0.7000000000000001,0.25
591,0.5,0.7000000000000001,0.26
592,0.5,0.7000000000000001,0.27
593,0.5,0.7000000000000001,0.28
594,0.5,0.7000000000000001,0.29000000000000004
595,0.5,0.7000000000000001,0.30000000000000004
596,0.5,0.7000000000000001,0.31
597,0.5,0.7000000000000001,0.32
598,0.5,0.7000000000000001,0.33
599,0.5,0.7000000000000001,0.33999999999999997
600,0.5,0.7000000000000001,0.35
601,0.5,0.7000000000000001,0.36
602,0.5,0.7000000000000001,0.37
603,0.5,0.7000000000000001,0.38
604,0.5,0.7000000000000001,0.39
605,0.5,0.7000000000000001,0.4
606,0.5,0.7000000000000001,0.41000000000000003
607,0.5,0.7000000000000001,0.42000000000000004
608,0.5,0.7000000000000001,0.43000000000000005
609,0.5,0.7000000000000001,0.44000000000000006
610,0.5,0.7000000000000001,0.45000000000000007
611,0.5,0.7000000000000001,0.45999999999999996
612,0.5,0.7000000000000001,0.47
613,0.5,0.7000000000000001,0.48
614,0.5,0.7000000000000001,0.49
615,0.5,0.7000000000000001,0.5
616,0.5,0.75,0.1
617,0.5,0.75,0.11
618,0.5,0.75,0.12000000000000001
619,0.5,0.75,0.13
620,0.5,0.75,0.14
621,0.5,0.75,0.15000000000000002
622,0.5,0.75,0.16
623,0.5,0.75,0.17
624,0.5,0.75,0.18
625,0.5,0.75,0.19
626,0.5,0.75,0.2
627,0.5,0.75,0.21000000000000002
628,0.5,0.75,0.22
629,0.5,0.75,0.23
630,0.5,0.75,0.24000000000000002
631,0.5,0.75,0.25
632,0.5,0.75,0.26
633,0.5,0.75,0.27
634,0.5,0.75,0.28
635,0.5,0.75,0.29000000000000004
636,0.5,0.75,0.30000000000000004
637,0.5,0.75,0.31
638,0.5,0.75,0.32
639,0.5,0.75,0.33
640,0.5,0.75,0.33999999999999997
641,0.5,0.75,0.35
642,0.5,0.75,0.36
643,0.5,0.75,0.37
644,0.5,0.75,0.38
645,0.5,0.75,0.39
646,0.5,0.75,0.4
647,0.5,0.75,0.41000000000000003
648,0.5,0.75,0.42000000000000004
649,0.5,0.75,0.43000000000000005
650,0.5,0.75,0.44000000000000006
651,0.5,0.75,0.45000000000000007
652,0.5,0.75,0.45999999999999996
653,0.5,0.75,0.47
654,0.5,0.75,0.48
655,0.5,0.75,0.49
656,0.5,0.75,0.5
657,0.5,0.8,0.1
658,0.5,0.8,0.11
659,0.5,0.8,0.12000000000000001
660,0.5,0.8,0.13
661,0.5,0.8,0.14
662,0.5,0.8,0.15000000000000002
663,0.5,0.8,0.16
664,0.5,0.8,0.17
665,0.5,0.8,0.18
666,0.5,0.8,0.19
667,0.5,0.8,0.2
668,0.5,0.8,0.21000000000000002
669,0.5,0.8,0.22
670,0.5,0.8,0.23
671,0.5,0.8,0.24000000000000002
672,0.5,0.8,0.25
673,0.5,0.8,0.26
674,0.5,0.8,0.27
675,0.5,0.8,0.28
676,0.5,0.8,0.29000000000000004
677,0.5,0.8,0.30000000000000004
678,0.5,0.8,0.31
679,0.5,0.8,0.32
680,0.5,0.8,0.33
681,0.5,0.8,0.33999999999999997
682,0.5,0.8,0.35
683,0.5,0.8,0.36
684,0.5,0.8,0.37
685,0.5,0.8,0.38
686,0.5,0.8,0.39
687,0.5,0.8,0.4
688,0.5,0.8,0.41000000000000003
689,0.5,0.8,0.42000000000000004
690,0.5,0.8,0.43000000000000005
691,0.5,0.8,0.44000000000000006
692,0.5,0.8,0.45000000000000007
693,0.5,0.8,0.45999999999999996
694,0.5,0.8,0.47
695,0.5,0.8,0.48
696,0.5,0.8,0.49
697,0.5,0.8,0.5
698,0.5,0.8500000000000001,0.1
699,0.5,0.8500000000000001,0.11
700,0.5,0.8500000000000001,0.12000000000000001
701,0.5,0.8500000000000001,0.13
702,0.5,0.8500000000000001,0.14
703,0.5,0.8500000000000001,0.15000000000000002
704,0.5,0.8500000000000001,0.16
705,0.5,0.8500000000000001,0.17
706,0.5,0.8500000000000001,0.18
707,0.5,0.8500000000000001,0.19
708,0.5,0.8500000000000001,0.2
709,0.5,0.8500000000000001,0.21000000000000002
710,0.5,0.8500000000000001,0.22
711,0.5,0.8500000000000001,0.23
712,0.5,0.8500000000000001,0.24000000000000002
713,0.5,0.8500000000000001,0.25
714,0.5,0.8500000000000001,0.26
715,0.5,0.8500000000000001,0.27
716,0.5,0.8500000000000001,0.28
717,0.5,0.8500000000000001,0.29000000000000004
718,0.5,0.8500000000000001,0.30000000000000004
719,0.5,0.8500000000000001,0.31
720,0.5,0.8500000000000001,0.32
721,0.5,0.8500000000000001,0.33
722,0.5,0.8500000000000001,0.33999999999999997
723,0.5,0.8500000000000001,0.35
724,0.5,0.8500000000000001,0.36
725,0.5,0.8500000000000001,0.37
726,0.5,0.8500000000000001,0.38
727,0.5,0.8500000000000001,0.39
728,0.5,0.8500000000000001,0.4
729,0.5,0.8500000000000001,0.41000000000000003
730,0.5,0.8500000000000001,0.42000000000000004
731,0.5,0.8500000000000001,0.43000000000000005
732,0.5,0.8500000000000001,0.44000000000000006
733,0.5,0.8500000000000001,0.45000000000000007
734,0.5,0.8500000000000001,0.45999999999999996
735,0.5,0.8500000000000001,0.47
736,0.5,0.8500000000000001,0.48
737,0.5,0.8500000000000001,0.49
738,0.5,0.8500000000000001,0.5
739,0.5,0.9,0.1
740,0.5,0.9,0.11
741,0.5,0.9,0.12000000000000001
742,0.5,0.9,0.13
743,0.5,0.9,0.14
744,0.5,0.9,0.15000000000000002
745,0.5,0.9,0.16
746,0.5,0.9,0.17
747,0.5,0.9,0.18
748,0.5,0.9,0.19
749,0.5,0.9,0.2
750,0.5,0.9,0.21000000000000002
751,0.5,0.9,0.22
752,0.5,0.9,0.23
753,0.5,0.9,0.24000000000000002
754,0.5,0.9,0.25
755,0.5,0.9,0.26
756,0.5,0.9,0.27
757,0.5,0.9,0.28
758,0.5,0.9,0.29000000000000004
759,0.5,0.9,0.30000000000000004
760,0.5,0.9,0.31
761,0.5,0.9,0.32
762,0.5,0.9,0.33
763,0.5,0.9,0.33999999999999997
764,0.5,0.9,0.35
765,0.5,0.9,0.36
766,0.5,0.9,0.37
767,0.5,0.9,0.38
768,0.5,0.9,0.39
769,0.5,0.9,0.4
770,0.5,0.9,0.41000000000000003
771,0.5,0.9,0.42000000000000004
772,0.5,0.9,0.43000000000000005
773,0.5,0.9,0.44000000000000006
774,0.5,0.9,0.45000000000000007
775,0.5,0.9,0.45999999999999996
776,0.5,0.9,0.47
777,0.5,0.9,0.48
778,0.5,0.9,0.49
779,0.5,0.9,0.5
780,0.5,0.9500000000000001,0.1
781,0.5,0.9500000000000001,0.11
782,0.5,0.9500000000000001,0.12000000000000001
783,0.5,0.9500000000000001,0.13
784,0.5,0.9500000000000001,0.14
785,0.5,0.9500000000000001,0.15000000000000002
786,0.5,0.9500000000000001,0.16
787,0.5,0.9500000000000001,0.17
788,0.5,0.9500000000000001,0.18
789,0.5,0.9500000000000001,0.19
790,0.5,0.9500000000000001,0.2
791,0.5,0.9500000000000001,0.21000000000000002
792,0.5,0.9500000000000001,0.22
793,0.5,0.9500000000000001,0.23
794,0.5,0.9500000000000001,0.24000000000000002
795,0.5,0.9500000000000001,0.25
796,0.5,0.9500000000000001,0.26
797,0.5,0.9500000000000001,0.27
798,0.5,0.9500000000000001,0.28
799,0.5,0.9500000000000001,0.29000000000000004
800,0.5,0.9500000000000001,0.30000000000000004
801,0.5,0.9500000000000001,0.31
802,0.5,0.9500000000000001,0.32
803,0.5,0.9500000000000001,0.33
804,0.5,0.9500000000000001,0.33999999999999997
805,0.5,0.9500000000000001,0.35
806,0.5,0.9500000000000001,0.36
807,0.5,0.9500000000000001,0.37
808,0.5,0.9500000000000001,0.38
809,0.5,0.9500000000000001,0.39
810,0.5,0.9500000000000001,0.4
811,0.5,0.9500000000000001,0.41000000000000003
812,0.5,0.9500000000000001,0.42000000000000004
813,0.5,0.9500000000000001,0.43000000000000005
814,0.5,0.9500000000000001,0.44000000000000006
815,0.5,0.9500000000000001,0.45000000000000007
816,0.5,0.9500000000000001,0.45999999999999996
817,0.5,0.9500000000000001,0.47
818,0.5,0.9500000000000001,0.48
819,0.5,0.9500000000000001,0.49
820,0.5,0.9500000000000001,0.5
821,0.5,1,0.1
822,0.5,1,0.11
823,0.5,1,0.12000000000000001
824,0.5,1,0.13
825,0.5,1,0.14
826,0.5,1,0.15000000000000002
827,0.5,1,0.16
828,0.5,1,0.17
829,0.5,1,0.18
830,0.5,1,0.19
831,0.5,1,0.2
832,0.5,1,0.21000000000000002
833,0.5,1,0.22
834,0.5,1,0.23
835,0.5,1,0.24000000000000002
836,0.5,1,0.25
837,0.5,1,0.26
838,0.5,1,0.27
839,0.5,1,0.28
840,0.5,1,0.29000000000000004
841,0.5,1,0.30000000000000004
842,0.5,1,0.31
843,0.5,1,0.32
844,0.5,1,0.33
845,0.5,1,0.33999999999999997
846,0.5,1,0.35
847,0.5,1,0.36
848,0.5,1,0.37
849,0.5,1,0.38
850,0.5,1,0.39
851,0.5,1,0.4
852,0.5,1,0.41000000000000003
853,0.5,1,0.42000000000000004
854,0.5,1,0.43000000000000005
855,0.5,1,0.44000000000000006
856,0.5,1,0.45000000000000007
857,0.5,1,0.45999999999999996
858,0.5,1,0.47
859,0.5,1,0.48
860,0.5,1,0.49
861,0.5,1,0.5
862,0.5,1.05,0.1
863,0.5,1.05,0.11
864,0.5,1.05,0.12000000000000001
865,0.5,1.05,0.13
866,0.5,1.05,0.14
867,0.5,1.05,0.15000000000000002
868,0.5,1.05,0.16
869,0.5,1.05,0.17
870,0.5,1.05,0.18
871,0.5,1.05,0.19
872,0.5,1.05,0.2
873,0.5,1.05,0.21000000000000002
874,0.5,1.05,0.22
875,0.5,1.05,0.23
876,0.5,1.05,0.24000000000000002
877,0.5,1.05,0.25
878,0.5,1.05,0.26
879,0.5,1.05,0.27
880,0.5,1.05,0.28
881,0.5,1.05,0.29000000000000004
882,0.5,1.05,0.30000000000000004
883,0.5,1.05,0.31
884,0.5,1.05,0.32
885,0.5,1.05,0.33
886,0.5,1.05,0.33999999999999997
887,0.5,1.05,0.35
888,0.5,1.05,0.36
889,0.5,1.05,0.37
890,0.5,1.05,0.38
891,0.5,1.05,0.39
892,0.5,1.05,0.4
893,0.5,1.05,0.41000000000000003
894,0.5,1.05,0.42000000000000004
895,0.5,1.05,0.43000000000000005
896,0.5,1.05,0.44000000000000006
897,0.5,1.05,0.45000000000000007
898,0.5,1.05,0.45999999999999996
899,0.5,1.05,0.47
900,0.5,1.05,0.48
901,0.5,1.05,0.49
902,0.5,1.05,0.5
903,0.5,1.1,0.1
904,0.5,1.1,0.11
905,0.5,1.1,0.12000000000000001
906,0.5,1.1,0.13
907,0.5,1.1,0.14
908,0.5,1.1,0.15000000000000002
909,0.5,1.1,0.16
910,0.5,1.1,0.17
911,0.5,1.1,0.18
912,0.5,1.1,0.19
913,0.5,1.1,0.2
914,0.5,1.1,0.21000000000000002
915,0.5,1.1,0.22
916,0.5,1.1,0.23
917,0.5,1.1,0.24000000000000002
918,0.5,1.1,0.25
919,0.5,1.1,0.26
920,0.5,1.1,0.27
921,0.5,1.1,0.28
922,0.5,1.1,0.29000000000000004
923,0.5,1.1,0.30000000000000004
924,0.5,1.1,0.31
925,0.5,1.1,0.32
926,0.5,1.1,0.33
927,0.5,1.1,0.33999999999999997
928,0.5,1.1,0.35
929,0.5,1.1,0.36
930,0.5,1.1,0.37
931,0.5,1.1,0.38
932,0.5,1.1,0.39
933,0.5,1.1,0.4
934,0.5,1.1,0.41000000000000003
935,0.5,1.1,0.42000000000000004
936,0.5,1.1,0.43000000000000005
937,0.5,1.1,0.44000000000000006
938,0.5,1.1,0.45000000000000007
939,0.5,1.1,0.45999999999999996
940,0.5,1.1,0.47
941,0.5,1.1,0.48
942,0.5,1.1,0.49
943,0.5,1.1,0.5
944,0.5,1.1500000000000001,0.1
945,0.5,1.1500000000000001,0.11
946,0.5,1.1500000000000001,0.12000000000000001
947,0.5,1.1500000000000001,0.13
948,0.5,1.1500000000000001,0.14
949,0.5,1.1500000000000001,0.15000000000000002
950,0.5,1.1500000000000001,0.16
951,0.5,1.1500000000000001,0.17
952,0.5,1.1500000000000001,0.18
953,0.5,1.1500000000000001,0.19
954,0.5,1.1500000000000001,0.2
955,0.5,1.1500000000000001,0.21000000000000002
956,0.5,1.1500000000000001,0.22
957,0.5,1.1500000000000001,0.23
958,0.5,1.1500000000000001,0.24000000000000002
